	Psammocora contigua	Psammocora digitata	Pocillopora damicornis	Pocillopora verrucosa	Stylopora pistillata	Acropora bruegemanni	Acropora robusta	Acropora grandis	Acropora intermedia	Acropora formosa	Acropora splendida	Acropora aspera	Acropora hyacinthus	Acropora palifera	Acropora cytherea	Acropora tenuis	Acropora pulchra	Acropora nasuta	Acropora humilis	Acropora diversa	Acropora digitifera	Acropora divaricata	Acropora subglabra	Acropora cerealis	Acropora valida	Acropora acuminata	Acropora elsevi	Acropora millepora	Montipora monasteriata	Montipora tuberculosa	Montipora hispida	Montipora digitata	Montipora foliosa	Montipora verrucosa	Fungia fungites	Fungia paumotensis	Fungia concina	Fungia scutaria	Halomitra limax	Pavona varians	Pavona venosa	Pavona cactus	Coeloseris mayeri	Galaxea fascicularis	Symphyllia radians	Lobophyllia corymbosa	Lobophyllia hemprichii	Porites cylindrica	Porites lichen	Porites lobata	Porites lutea	Porites nigrescens	Porites solida	Porites stephensoni	Goniopora lobata	Favia pallida	Favia speciosa	Favia stelligera	Favia rotumana	Favites abdita	Favites chinensis	Goniastrea rectiformis	Goniastrea pectinata	Goniastrea sp	Dulophyllia crispa	Platygyra daedalea	Platygyra sinensis	Hydnopora rigida	Leptastrea purpurea	Leptastrea pruinosa	Cyphastrea serailia	Millepora platyphylla	Millepora dichotoma	Millepora intrincata	Heliopora coerulea
Y83R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.5	0	0	0	1.2	0	0	0	0	0	1.9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0
Y83R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	2.8	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1.2	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y83R5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y83R6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0
Y83R7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y83R8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y83R9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y83R10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y84R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0.9	0	0	0	2.1	0	0	1.5	0	0.8	3	1.5	0	2.1	0	0	0	3	0	1.2	0	0	1.2	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	1.7	1.9	2	0	0	0	0
Y84R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.2	0	2	0	4	0	1.5	1.2	0	0	0	0	1.5	0	1.5	0	0	0	0	4.2	0	0	0	2.4	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	1.8	2	0	0	0	0	0
Y84R3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0	1.5	4.3	0.7	2	0	0	0	0	0	2.1	0	0	0	0	0	0	0	1.1	1.8	0	1.5	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	1.6	0	2.2	0	0	0	0
Y84R4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	1.2	0	2.2	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	3.2	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0
Y84R5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1	0	2.5	1.5	3	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0.6	0	0	0	0
Y84R6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	5.1	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2.8	0	0	0	0
Y84R7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y84R8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4.3	6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0
Y84R9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0
Y84R10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.1	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0
Y85R1	0	0	0	0	0	3.3	0	0	0	2.5	0	1.5	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	3.1	0	0	0	2.7	0	1.5	1.5	12.1	0.9	5.5	0	1.3	3.5	0	3	0	0	0	0	0.9	0.9	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0
Y85R2	0	0	0	0	0	0	0	0	0	2	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3.1	0	9.8	0	0	0.9	0	0	0	0	0	0	0	0	0	0	3	0	5.1	1.2	0	0	7.1	5.2	0	0	0.8	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0
Y85R3	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3.3	3.7	2.2	7.1	0	0	0	0	0	0	0	3.7	0	0	0	0	1.5	0	0	13.1	3.3	2	3	7.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0
Y85R4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	3.5	4.2	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	0.6	0	0	9.8	0.9	0	0	0	0	0	0	0	0	0	0	0	0	5.7	3.5	0	0	0	0	0	0	0	0
Y85R5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	6.1	2.8	5.1	7.1	0	0	0	0	0	0	5.2	0	0	0	0	0	0	0	8.7	0	0	0	16.5	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y85R6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	0	9.2	7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1.5	3.9	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Y85R7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1	3.7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7.1	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0
Y85R8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	8.2	17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6.8	0	3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y85R9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1	0	0	0	10.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7	0	0	0	0	0	0	0	0
Y85R10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.6	7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y87R1	0	0	1.8	0	0	6	0	1.8	0	0	0	0	7.2	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	5.2	2.7	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	0	0	0	0	3.5	0	0	0	2.1	0	0	0
Y87R2	0	0	0	0	0	5.5	4.2	0	0	0	0	0	9.3	0	0	3	0	1.7	0	0	0	0	0	0	0	0	0	0	4.2	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0	6.5	3.1	0	0	7.2	0	0	0	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y87R3	0	0	0	0	0	4.2	4	1.3	0	0	0	0	4.5	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	1.9	3.8	0	0	5.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0
Y87R4	0	0	0	0	0	1.4	0.9	1	0	0	0	0	3.6	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	1.9	0	0	6.9	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y87R5	0	0	0	0	0	0	2	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0
Y87R6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9.3	8.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	0	0	0
Y87R7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.1	9.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0
Y87R8	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4	18.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y87R9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.2	17.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y87R10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.3	9.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y88R1	0	0	0	0	0	6.3	0	0	0	5.5	0	0	7.5	0	0	0.9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	1.5	3	0	0	3	0	0	0	5.5	2.7	0	0	8.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0.8
Y88R2	0	0	0	0	0	4.8	4.5	0	0	2.6	0	0	5.6	0	0	3.7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	1.5	0	7	3.9	0	0	8.3	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y88R3	0	0	0	0	0	5.2	4	0	0	0	0	0	6.1	0	0	4.2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	2.1	0	0	0	0	2.7	0	4.2	4.2	0	3	6.7	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y88R4	0	0	0	0	0	0	0.8	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y88R5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	1.7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4.5	3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y88R6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0	0	6.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y88R7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y88R8	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y88R9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.2	17.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y88R10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	0	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
