	Lat	Long	Elev	Precip
ufhortic	29.67	-82.33	50	1375
valleyvi	38.25	-90.62	225	930
avalanch	11.3	76.58	2100	1400
baitete	-5.17	145.8	200	3375
bakosar	1.75	110.42	90	4000
davies	-17.8	145.57	770	2300
genting	3.97	101.63	890	2000
chiba	35.15	140.15	270	2600
kenting	21.92	120.83	200	2500
khaoyai	14.33	101.83	700	2300
mudumal1	11.6	76.53	1000	1000
mudumal2	11.6	76.53	1000	1000
nadugani	11.45	76.38	690	2500
nanjensh	22	120.83	310	2500
newcaldo	-22.17	166.83	400	2200
palanan	17.13	122.52	30	2400
pasoh30	3	102.33	100	2054
pasoh40	3	102.33	100	2054
sakaera2	14.5	102	400	1500
sakaerat	14.5	102	400	1500
semengoh	1.83	110.8	100	4167
varirata	-9.5	147.5	740	1000
