"";"gradient1";"gradient2"
"328";3717;2385
"329";92;2946
"330";2767;4316
"331";3126;714
"332";663;939
"333";4447;3684
"334";105;3165
"335";4335;1563
"336";4641;2047
"337";2623;2153
"338";729;585
"339";3441;2089
"340";2755;2824
"341";1410;1351
"342";1059;3165
"343";2259;3366
"344";4710;4255
"345";2286;4760
"346";4965;1790
"347";95;2409
"348";4039;3723
"349";1165;769
"350";766;4758
"351";2344;4767
"352";359;2494
"353";2853;3270
"354";1421;4790
"355";2361;4187
"356";2263;3016
"357";1243;1022
"358";910;720
"359";1926;4309
"360";3996;4056
"361";1647;3177
"362";1488;64
"363";3067;78
"364";2398;4830
"365";530;3430
"366";2573;2489
"367";4317;887
"368";4484;2552
"369";466;1210
"370";2325;4926
"371";1181;913
"372";3687;4095
"373";2013;498
"374";2864;1777
"375";2685;1248
"376";1951;2131
"377";2509;2658
"378";1544;657
"379";93;617
"380";43;401
"381";874;4304
"382";994;4196
"383";769;1218
"384";1164;1495
"385";4564;1795
"386";26;1954
"387";3703;4987
"388";4463;2726
"389";1934;1011
"390";4756;190
"391";4772;3700
"392";4719;1584
"393";687;4305
"394";4898;1536
"395";1230;1009
"396";4576;1103
"397";4597;1773
"398";3294;4445
"399";4965;3900
"400";1367;3689
"401";4859;2814
"402";3705;2247
"403";3267;4985
"404";3905;1579
"405";776;2194
"406";1939;4975
"407";4592;208
"408";1395;905
"409";4601;2912
"410";3613;898
"411";3086;1614
"412";412;4773
"413";2425;4207
"414";268;852
"415";2132;4110
"416";3767;3975
"417";3848;214
"418";1273;1135
"419";2186;2572
"420";3098;1444
"421";4291;2822
"422";755;2631
"423";3658;2626
"424";1043;3662
"425";1899;141
"426";184;623
"427";3171;4184
"428";3630;2947
"429";4458;2491
"430";3082;4416
"431";4407;1156
"432";4186;4947
"433";3680;2011
"434";4312;3340
"435";3473;2142
"436";1387;71
"437";3341;10
"438";1486;2662
"439";3783;2934
"440";3094;4364
"441";4944;2776
"442";4588;719
"443";3560;1563
"444";2921;4138
"445";4487;9
"446";2887;3124
"447";2755;3254
"448";3614;4260
"449";4439;536
"450";1660;4572
"451";2920;1701
"452";4678;3468
"453";1818;1177
"454";3137;4728
"455";2605;1114
"456";2937;1205
"457";739;1984
"458";3957;777
"459";1832;3013
"460";4380;197
"461";2683;2191
"462";2091;3885
"463";87;4000
"464";4653;1818
"465";3419;1960
"466";3400;2526
"467";900;4256
"468";1648;4890
"469";4744;249
"470";2835;4139
"471";2807;2190
"472";2833;2758
"473";1721;3026
"474";3544;4059
"475";3498;274
"476";2917;4544
"477";4952;3609
"478";2701;3973
"479";2355;4988
"480";4684;4915
"481";2891;1218
"482";3610;2028
"483";1771;137
"484";2074;3528
"485";4198;2379
"486";200;1997
"487";1805;41
"488";4247;3920
"489";4541;1405
"490";2412;1696
"491";3774;3742
"492";1012;3522
"493";675;143
"494";283;2501
"495";1354;187
"496";527;3980
"497";365;553
"498";3866;4891
"499";4842;471
"500";1767;112
