gradient1	gradient2	groups
114	20	4697	2
115	4906	3630	4
116	2347	2396	1
117	2656	538	3
118	1804	1195	1
119	2120	4923	2
120	1359	535	1
121	4191	1162	3
122	458	119	1
123	830	4255	2
124	4754	4470	2
125	736	1254	1
126	3989	2710	4
127	2034	1066	1
128	1058	1135	1
129	4894	1666	3
130	794	1395	1
131	2247	1995	1
132	1856	1485	1
133	2317	4873	2
134	2975	91	3
135	4551	1676	3
136	3653	2537	3
137	4223	1006	3
138	368	928	1
139	3181	1705	3
140	4037	129	3
141	4225	822	3
142	4304	3458	4
143	785	295	1
144	2565	738	3
145	1878	2509	1
146	1480	2926	1
147	3949	291	3
148	1733	3851	2
149	120	608	1
150	4306	2167	3
151	2212	4920	2
152	774	946	1
153	1410	1495	1
154	2915	3488	2
155	369	3495	1
156	1006	1825	1
157	4550	819	3
158	1318	3060	1
159	3736	2343	3
160	3082	4799	2
161	3922	583	3
162	1855	4055	2
163	1972	3475	1
164	3885	3315	4
165	3467	7	3
166	1669	3588	2
167	4285	1231	3
168	4328	384	3
169	2956	4490	2
170	4295	3185	4
171	709	3523	1
172	4857	1905	3
173	4917	2926	4
174	196	2224	1
175	2989	2686	3
176	477	3163	1
177	4875	289	3
178	4310	1053	3
179	3790	589	3
180	2627	148	3
181	1897	3030	1
182	2844	796	3
183	3075	3767	2
184	2975	338	3
185	178	982	1
186	1188	189	1
187	4703	3772	4
188	1533	3723	2
189	4679	4447	2
190	2477	278	3
191	3765	700	3
192	2382	1258	3
193	3456	3347	4
194	65	4278	2
195	4046	763	3
196	1477	2706	1
197	4057	1592	3
198	607	4787	2
199	2713	3515	2
200	365	1994	1
201	2083	2241	1
202	3312	3501	2
203	542	4476	2
204	1620	844	1
205	1268	4016	2
206	665	2310	1
207	3379	968	3
208	3595	4315	2
209	4766	4671	2
210	2124	1246	1
211	4738	654	3
212	669	747	1
213	4432	4023	2
214	2251	3630	2
215	2497	2789	1
216	4102	1033	3
217	4041	2969	4
218	4468	3515	4
219	1068	496	1
220	1730	3628	1
221	4809	4784	2
222	1508	1899	1
223	3951	2636	4
224	4466	3142	4
225	819	1204	1
226	4262	3137	4
227	4223	3336	4
228	1557	904	1
229	4390	4828	2
230	3224	605	3
231	849	3024	1
232	4167	1067	3
233	3298	1051	3
234	1747	3251	1
235	372	4820	2
236	4653	4480	2
237	1312	3495	1
238	2586	4191	2
239	691	2539	1
240	3448	697	3
241	2707	1190	3
242	1318	4501	2
243	3661	4385	2
244	2975	1480	3
245	2701	2136	3
246	739	519	1
247	1543	1570	1
248	2116	2992	1
249	555	629	1
250	1310	3352	1
251	451	296	1
252	3517	371	3
253	2322	2511	1
254	4495	1397	3
255	3017	1453	3
256	3001	4263	2
257	1689	1911	1
258	3491	2584	3
259	3483	2678	3
260	1286	3348	1
261	4709	716	3
262	1300	3788	2
263	3961	973	3
264	2564	1348	3
265	2014	2227	1
266	581	2618	1
267	332	1889	1
268	2964	736	3
269	2855	4161	2
270	372	3761	1
271	2393	2693	1
272	4959	2057	3
273	471	2567	1
274	146	3726	1
275	4635	4807	2
276	692	4744	2
277	922	4362	2
278	2935	2899	1
279	4683	3386	4
280	3713	3701	4
281	2533	2686	1
282	4960	3514	4
283	3525	2839	4
284	2710	3514	2
285	3741	4123	2
286	1311	198	1
287	2325	1862	1
288	3838	4280	2
289	3776	114	3
290	1796	374	1
291	4021	4583	2
292	2441	2078	1
293	2222	431	3
294	3417	1423	3
295	2507	3364	2
296	830	3772	2
297	409	1753	1
298	4992	3587	4
299	2400	69	3
300	3404	3616	2
301	3264	1469	3
302	2833	4626	2
303	4854	1012	3
304	3444	3062	4
305	4350	1138	3
306	1177	1234	1
307	4603	888	3
308	2593	1023	3
309	327	882	1
310	2272	2219	1
311	1994	135	1
312	1365	3158	1
313	2202	2561	1
314	1267	1053	1
315	193	3607	1
316	1543	2468	1
317	2440	1594	3
318	3439	1834	3
319	1672	2288	1
320	1455	4534	2
321	1832	1078	1
322	1548	1399	1
323	4641	942	3
324	1829	4414	2
325	4728	830	3
326	2876	1168	3
327	3422	4108	2
328	3717	2385	3
329	92	2946	1
330	2767	4316	2
331	3126	714	3
332	663	939	1
333	4447	3684	4
334	105	3165	1
335	4335	1563	3
336	4641	2047	3
337	2623	2153	3
338	729	585	1
339	3441	2089	3
340	2755	2824	3
341	1410	1351	1
342	1059	3165	1
343	2259	3366	2
344	4710	4255	2
345	2286	4760	2
346	4965	1790	3
347	95	2409	1
348	4039	3723	4
349	1165	769	1
350	766	4758	2
351	2344	4767	2
352	359	2494	1
353	2853	3270	2
354	1421	4790	2
355	2361	4187	2
356	2263	3016	1
357	1243	1022	1
358	910	720	1
359	1926	4309	2
360	3996	4056	2
361	1647	3177	1
362	1488	64	1
363	3067	78	3
364	2398	4830	2
365	530	3430	1
366	2573	2489	3
367	4317	887	3
368	4484	2552	4
369	466	1210	1
370	2325	4926	2
371	1181	913	1
372	3687	4095	2
373	2013	498	3
374	2864	1777	3
375	2685	1248	3
376	1951	2131	1
377	2509	2658	1
378	1544	657	1
379	93	617	1
380	43	401	1
381	874	4304	2
382	994	4196	2
383	769	1218	1
384	1164	1495	1
385	4564	1795	3
386	26	1954	1
387	3703	4987	2
388	4463	2726	4
389	1934	1011	1
390	4756	190	3
391	4772	3700	4
392	4719	1584	3
393	687	4305	2
394	4898	1536	3
395	1230	1009	1
396	4576	1103	3
397	4597	1773	3
398	3294	4445	2
399	4965	3900	2
400	1367	3689	2
401	4859	2814	4
402	3705	2247	3
403	3267	4985	2
404	3905	1579	3
405	776	2194	1
406	1939	4975	2
407	4592	208	3
408	1395	905	1
409	4601	2912	4
410	3613	898	3
411	3086	1614	3
412	412	4773	2
413	2425	4207	2
414	268	852	1
415	2132	4110	2
416	3767	3975	2
417	3848	214	3
418	1273	1135	1
419	2186	2572	1
420	3098	1444	3
421	4291	2822	4
422	755	2631	1
423	3658	2626	3
424	1043	3662	1
425	1899	141	1
426	184	623	1
427	3171	4184	2
428	3630	2947	4
429	4458	2491	3
430	3082	4416	2
431	4407	1156	3
432	4186	4947	2
433	3680	2011	3
434	4312	3340	4
435	3473	2142	3
436	1387	71	1
437	3341	10	3
438	1486	2662	1
439	3783	2934	4
440	3094	4364	2
441	4944	2776	4
442	4588	719	3
443	3560	1563	3
444	2921	4138	2
445	4487	9	3
446	2887	3124	2
447	2755	3254	2
448	3614	4260	2
449	4439	536	3
450	1660	4572	2
451	2920	1701	3
452	4678	3468	4
453	1818	1177	1
454	3137	4728	2
455	2605	1114	3
456	2937	1205	3
457	739	1984	1
458	3957	777	3
459	1832	3013	1
460	4380	197	3
461	2683	2191	1
462	2091	3885	2
463	87	4000	1
464	4653	1818	3
465	3419	1960	3
466	3400	2526	3
467	900	4256	2
468	1648	4890	2
469	4744	249	3
470	2835	4139	2
471	2807	2190	3
472	2833	2758	3
473	1721	3026	1
474	3544	4059	2
475	3498	274	3
476	2917	4544	2
477	4952	3609	4
478	2701	3973	2
479	2355	4988	2
480	4684	4915	2
481	2891	1218	3
482	3610	2028	3
483	1771	137	1
484	2074	3528	2
485	4198	2379	3
486	200	1997	1
487	1805	41	1
488	4247	3920	2
489	4541	1405	3
490	2412	1696	3
491	3774	3742	2
492	1012	3522	1
493	675	143	1
494	283	2501	1
495	1354	187	1
496	527	3980	2
497	365	553	1
498	3866	4891	2
499	4842	471	3
500	1767	112	1
