	Achillea millefolium	Ajuga reptans	Alchemilla vulgaris	Alopecurus pratensis	Angelica sylvestris	Anthriscus silvestris	Arrhenatherum elatius	Bellis perennis	Brachypodium pinnatum	Briza media	Bromus erectus	Campanula glomerata	Campanula rotundifolia	Cardamine pratensis	Carex acutiformis	Carex flacca	Carex gracilis	Carex hirta	Carex panicea	Centaurea jacea	Cerastium caespitosum	Chenopodium album	Chrysanthemum leucanthemum	Cirsium oleraceum	Crepis biennis	Dactylis glomerata	Daucus carota	Deschampsia caespitosa	Dianthus superbus	Euphrasia odontites	Festuca arundinacea	Festuca ovina	Festuca pratensis	Festuca rubra	Filipendula ulmaria	Galium boreale	Galium mollugo	Galium uliginosum	Galium verum	Geranium pratense	Geum rivale	Glechoma hederacea	Glyceria fluitans	Helictotrichon pubescens	Heracleum sphondylium	Holcus lanatus	Knautia arvensis	Koeleria pyramidata	Lamium album	Lathyrus pratensis	Leontodon hispidus	Linum catharticum	Lolium perenne	Lotus corniculatus	Lychnis flos-cuculi	Lysimachia nummularia	Medicago lupulina	Melandrium diurnum	Myosotis arvensis	Myosotis palustris	Pastinaca sativa	Phalaris arundinacea	Phleum pratense	Phragmites communis	Pimpinella magna	Pimpinella saxifraga	Plantago lanceolata	Plantago media	Poa pratensis	Poa trivialis	Polygonum bistorta	Polygonum convolvulus	Potentilla reptans	Prunella vulgaris	Ranunculus acer	Ranunculus repens	Rumex acetosa	Rumex crispus	Salvia pratensis	Sanguisorba officinalis	Scabiosa columbaria	Senecio jacobaea	Silaus pratensis	Silene inflata	Taraxacum officinale	Thymus serpyllum	Tragopogon pratensis	Trifolium pratense	Trifolium repens	Trisetum flavescens	Veronica chamaedrys	Vicia cracca	Vicia sepium	Viola hirta
13	4	0.1	0	4	0.1	0.1	10	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	1	0.1	0	15	2	0	0	0	0	0	2	1	0.1	0	10	0	0	0	0.1	0	0	4	26	1	0	0	0	0.1	0	0	0	0	0	0	0.1	0.1	0	0	1	0	0	0	1	0	4	0.1	2	0	0	0	0	0.1	2	0	1	0	0	0	0	0	0	0	2	0	1	0.1	0.1	6	0.1	0	0	0
14	16	0.1	0	0	1	0	12	0	0	0	0	0	1	0	0	2	0	0	0	4	0.1	0	2	18	0.1	10	0	1	0	0	1	0	2	0	0.1	1	14	0.1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.1	0	0	0.1	1	0	0	0.1	0	0	0	0	0	2	0	5	0	0	0	0.1	0	1	0	2	0	0	0.1	0	0	0	0	0.1	0	0	0	0.1	0	0	1	0	0
15	2	0	0	0	0	0	15	0	0	0	37	0	1	0	0	1	0	0	0	0.1	0.1	0	1	0	0	6	0.1	0	0	0	0	0	6	6	0	0	3	0	1	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	1	0.1	15	0	0	0	0	0	0.1	0	0.1	0	1	0	0.1	0.1	0	0.1	0.1	0	0.1	0.1	0.1	4	0.1	0.1	0.1	0.1
16	5	0	0	0	0	0	15	0.1	0	2	0	0.1	0.1	0.1	0	3	0	0	2	2	0	0	1	0	0	15	0.1	0	0.1	0	0	0	5	0	0	0	5	0	0	0	1	0	0	13	0.1	0	0	0	0	0	1	0.1	0	0	1	0	0.1	1	0	0	0	0	0	0	0	0	2	0.1	10	0	0	0	0	0.1	0.1	0	1	0	0	0	0	0	1	0	0	0	1	1	0.1	10	1	0.1	0	0
17	0.1	0.1	0	0	0	0	15	0.1	0	0	0	0	0	0	0	2	0	2	0	2	0	0	1	2	0.1	15	0.1	10	0	0	0	0	28	2	0	0	3	0	0	0	0.1	0	0	4	1	2	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.1	0	0.1	0	5	0	0	0	0	0.1	0.1	0.1	0.1	0	0	0	0	0	0.1	0	0.1	0	0	0	0	5	0.1	0	0	0
18	12	0.1	0	2	0	0	22	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	1	0	0	0.1	0	0	12	0	0	0	6	0	0	0	0.1	0	0	4	0.1	0	0.1	0	0	0	0	0	2	0	0	0	0.1	0	0	0	3	0	0	0	0	0	1	0.1	10	0	0	0	0	0.1	0	0	0	0	0	0	0	0.1	0	0	1	0	0	0.1	0.1	5	0	0	0.1	0.1
19	0	0	0	0	0	0	22	0	0	0	0	0	0	0	2	0	4	0	0	0	0.1	0.1	0.1	0.1	0	1	0	2	0	0	0	0	10	0.1	0	0	2	0	0	0	1	0	20	0	0	0.1	0	0	0.1	1	0	0	0	0	0.1	0	0	0.1	0	0	0	28	0	0	0	0	0.1	0	1	0	1	0.1	0	0	0.1	0	1	0.1	0	0	0	0	0	0	0	0	0	0.1	0	5	0.1	0	0	0
20	6	0.1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	2	0.1	0	3	0.1	1	5	1	0	0.1	0	0	0	2	2	0	0	5	0	0	0	0.1	0	0	28	1	0	0	0	0	0.1	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	1	0	1	0	1	0	0	0	0	0	0.1	0	0.1	0	0	0.1	0.1	8	1	0	0	0
21	0.1	1	0	15	0	0	25	0	0	0	0	0	0	0	1	0	0	0	0	0.1	0.1	0	0.1	2	0.1	18	0.1	5	0	0	0	0	15	0	0	0	1	0	0	0	1	0	0	0.1	0	2	0	0	0	0.1	0	0	0	0	0.1	0.1	0	0.1	0	0.1	0	0	0	0.1	1	0	1	0	1	0	0	0	0	1	0.1	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0.1	0.1	8	1	0	0	0
22	4	0.1	0	10	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1	1	8	0.1	0	0	0	0	0	15	0	0	0	3	0	0	0	0.1	0.1	0	2	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0.1	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0.1	2	0	1	0	0	0	0	0	0	0	0.1	0	0	0.1	0	16	0.1	0	0	0
23	0.1	0	0	0	1	0.1	26	0	0	0	0	0	1	0	0	0	0	0	0	0.1	0	0	1	1	6	8	2	0	0	0.1	0	0	2	0.1	0	0	12	0	0	0	0	0	0	0	1	0.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0.1	16	0	0	0	0	1	0.1	0	0.1	0	0	0	0	0	0	0	4	0	0	2	1	4	2	0	0	0
24	3	0	0.1	0	0	0	30	0	5	0	10	0.1	0.1	0	0	0	0	0	0	2	0	0	6	0	0.1	8	0	0	0	0	0	0	2	2	0	0	3	0	0.1	0	0	0	0	1	0.1	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	20	0	0	0	0	0.1	0.1	0	0	0	4	0	0	0	0	0	0.1	0	0	2	0	2	0.1	0.1	0	0.1
25	0.1	0.1	0	1	0.1	0.1	35	0	0	0	0	0	0.1	0	2	0	1	0	0	0	0	0	0	3	0	18	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0.1	0	0	0	0.1	15	0	0	0	0	0	0	0	0	0.1	0.1	0	4	0	0	0	0	0	0	0	0	0.1	0	10	0	4	0	0	0	0.1	0	1	0.1	0	0	0	0	0	0	0.1	0	0	0	0.1	0	1	0	0	0
