	vegtype	relev	aspect	slope	elev	convex	row	column	pH_A	N_A	P_A	OC_A	CEC_A	Al_A	K_A	Na_A	Ca_A	Mg_A	BSP_A	pH_B	N_B	P_B	OC_B	CEC_B	Al_B	K_B	Na_B	Ca_B	Mg_B	BSP_B
104	3	8	25	26.57	311	-0.19	4	14	4.37 	75.60 	10.65 	1.50 	9.21 	3.24 	0.28 	0.72 	0.43 	0.95 	26	4.29 	50.40 	5.48 	0.93 	8.38 	3.82 	0.19 	0.77 	0.07 	0.59 	19
106	3	17	45	26.57	320	-0.17	4	16	4.39 	50.40 	4.50 	1.26 	8.08 	3.16 	0.38 	0.99 	0.21 	0.92 	31	4.35 	31.50 	5.00 	0.81 	5.51 	3.49 	0.26 	0.28 	0.07 	0.67 	23
108	2	26	35	18.43	329	1.38	4	18	4.26 	60.48 	4.87 	1.26 	8.08 	3.60 	0.22 	2.48 	0.14 	0.49 	41	4.25 	37.80 	6.24 	0.66 	7.88 	3.54 	0.16 	0.43 	0.05 	0.35 	13
121	3	28	85	6.71	335	0.36	5	1	4.31 	52.92 	8.62 	1.47 	7.50 	2.82 	0.21 	0.99 	0.22 	0.79 	29	4.14 	27.72 	5.02 	0.96 	6.55 	3.24 	0.18 	0.70 	0.24 	0.65 	27
122	2	27	85	6.71	334	0.22	5	2	4.36 	49.90 	13.82 	1.62 	7.70 	2.78 	0.22 	0.86 	0.24 	0.37 	22	4.58 	33.26 	5.50 	0.87 	5.79 	2.69 	0.12 	0.23 	0.05 	0.31 	12
125	1	19	165	26.57	327	0.42	5	5	4.48 	40.32 	8.06 	1.11 	4.75 	2.23 	0.17 	0.58 	0.38 	0.84 	42	4.43 	22.68 	2.74 	0.51 	6.37 	3.87 	0.12 	0.21 	0.05 	0.66 	16
127	2	12	105	11.31	319	-2.29	5	7	4.67 	52.92 	7.80 	1.86 	8.64 	1.74 	0.26 	0.39 	1.21 	1.38 	37	4.04 	17.64 	4.83 	0.60 	6.35 	2.55 	0.15 	2.32 	0.25 	0.85 	56
131	2	5	95	21.8	312	0.26	5	11	5.03 	65.52 	10.23 	1.92 	6.56 	0.60 	0.30 	0.15 	1.62 	1.19 	50	4.47 	32.76 	5.37 	1.17 	6.27 	2.14 	0.19 	0.20 	0.57 	0.54 	24
133	3	4	15	26.57	309	-1.95	5	13	4.94 	35.28 	3.95 	0.81 	5.79 	1.42 	0.53 	0.17 	1.16 	1.27 	54	4.43 	20.16 	2.28 	0.30 	6.17 	3.34 	0.32 	0.23 	0.16 	0.59 	21
134	3	8	15	33.69	313	-0.67	5	14	4.76 	50.40 	9.28 	1.26 	7.12 	1.32 	0.63 	0.52 	1.24 	1.50 	55	4.56 	32.76 	3.00 	0.60 	7.88 	3.34 	0.36 	2.64 	0.11 	0.68 	48
135	3	13	15	33.69	318	-0.47	5	15	4.35 	52.92 	7.15 	1.26 	8.38 	2.28 	0.22 	1.26 	0.36 	0.76 	31	4.24 	37.80 	4.23 	1.02 	8.32 	3.60 	0.18 	0.24 	0.08 	0.38 	11
137	3	20	35	33.69	325	-0.76	5	17	4.41 	40.32 	4.17 	1.23 	6.93 	2.77 	0.24 	0.24 	0.08 	0.39 	14	4.41 	22.68 	2.74 	1.05 	7.31 	4.59 	0.15 	0.69 	0.04 	0.39 	17
